organisation_hk,organisation_id,organisation_date_sk,subscription_date_sk,report_date,total_monthly_active_user_count,paid_monthly_active_user_count,full_monthly_active_user_count,lite_monthly_active_user_count,free_monthly_active_user_count,inspections_paid_monthly_active_user_count,actions_paid_monthly_active_user_count,issues_paid_monthly_active_user_count,heads_up_paid_monthly_active_user_count,training_paid_monthly_active_user_count,assets_paid_monthly_active_user_count,two_product_paid_monthly_active_user_count,inspections_free_monthly_active_user_count,actions_free_monthly_active_user_count,issues_free_monthly_active_user_count,heads_up_free_monthly_active_user_count,training_free_monthly_active_user_count,assets_free_monthly_active_user_count,two_product_free_monthly_active_user_count,total_chargify_component_type_count,total_user_count,free_user_count,paid_user_count,full_user_count,lite_user_count,total_action_count,total_action_completed_count,total_issue_count,total_issue_resolved_count,total_heads_up_count,total_published_heads_up_count,total_heads_up_view_count,commenced_inspection_count,commenced_inspection_deleted_count,completed_inspection_count,completed_inspection_deleted_count,total_created_templates,total_created_templates_deleted,total_reports_interacted_count,total_reports_shared_count,total_reports_exported_count,total_analytics_event_count,total_active_analytics_event_count,total_passive_analytics_event_count,total_api_call_count,total_site_count,total_site_with_member_count,total_activated_hardware_sensor_count,total_activated_weather_sensor_count,total_deactivated_hardware_sensor_count,total_deactivated_weather_sensor_count,total_active_asset_count,total_archive_asset_count,total_seat_count,change_total_seat_count,total_paid_seat_count,total_full_seat_count,total_free_seat_count,total_lite_seat_count,total_action_only_seat_count,total_issue_or_action_only_seat_count,total_issue_only_seat_count,total_extra_devices_count,total_schedule_count,total_support_conversation_count,total_actionable_support_conversation_count
f7b0b5a94ab84b5d7d450d39c239bfc4,c0bccd9a125be8564e0f0dbf419a594bfc523a73bc710fa2fb0d2f715f4c4c80,646e2e927a131ee69b9cd3af1ff83c27,11d99021ce3730290f6d98704d831faa,2024-02-14,13,13,13,0,0,10,9,4,7,3,4,10,0,0,0,0,0,0,0,1,15,0,15,15,0,3,0,0,0,0,0,0,8,1,6,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,1,26,0,15,0,15,15,0,0,0,0,0,0,0,0,0
1ec7941340ab6766f16a8db7fa7143e4,226a10838b71d401c97892d680aadddcef20579c29c0050d8f0aac283b4ec9c8,16e204ee252a14a8fa6771eb7ab38c66,bbf7432dd63ed68fe1e2ba6671248935,2024-02-16,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,0,0,0,2,0,0,0,0,0,0,0,0
2f12f842b7bfda32fc16826a6d6994e1,ca250de8ec6b7c3792dabb262f5a59ca5748fcdfdd612f9ab4e87b2b2829d71b,490c637c45eb8915fa3a015f8d4ffdac,4f9b14aadd2114022fc306ac0aa7266f,2024-02-16,26,26,18,8,0,8,10,9,19,19,2,17,0,0,0,0,0,0,0,1,29,1,28,18,10,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,106,4,30,0,30,20,0,10,0,0,0,0,0,0,0
d23f778954435b793d2119f19358f3b0,1c7b93fdd59bdadf7371ee9af953182343442b790f670436eb637eff7e6b1d96,209610c263f9377fc4b784e6fac7e86a,355b7407e38d93560bba026ce1cbb127,2024-02-17,22,22,22,0,0,13,10,0,0,16,2,11,0,0,0,0,0,0,0,1,40,2,38,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,43,0,40,0,40,40,0,0,0,0,0,0,0,0,0
2f12f842b7bfda32fc16826a6d6994e1,ca250de8ec6b7c3792dabb262f5a59ca5748fcdfdd612f9ab4e87b2b2829d71b,755c693a9d0d8591baa45d3d7308071c,cb61dd72f7550be96f955d275ffe3119,2024-02-18,26,26,18,8,0,8,10,9,19,19,2,17,0,0,0,0,0,0,0,1,29,1,28,18,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,106,4,30,0,30,20,0,10,0,0,0,0,0,0,0
e57e52d82d1c6a65b1f21f06ed7e2c9d,49a7b01a269bf2ed819b88935e92b61b16f6f6cf0b2a9cb6c77e8b5b7eea1ae6,506e290c1ef59ab10f4311947a6a9992,44c2e5b17f3ebfb7f4067e81b40611ec,2024-02-18,6,6,6,0,0,5,0,0,3,2,6,6,0,0,0,0,0,0,0,1,9,0,9,9,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,18,0,30,0,30,30,0,0,0,0,0,0,0,0,0
4165820bb9278f602cf182c33e45597c,1096e863ca344ad23d896ce35ec2b742d5ff2cf6965d472ed960d77d08da9351,6dec14426ecd4c82be906c983f0d222c,08145709fbcb29cbd25379021faa31f2,2024-02-19,44,43,43,0,1,38,36,6,31,0,41,42,0,0,0,0,0,1,0,1,51,5,46,46,0,4,4,0,0,0,0,0,65,0,54,0,0,0,41,0,9,0,0,0,0,0,0,0,6,0,0,1370,21,48,0,48,48,0,0,0,0,0,0,0,0,0
cd67df80fe285dba53b9b8fdae169f2e,f1234781e67effdbbc88faf616369114e652241fe9971a213df00a8ba7778a7a,2317241a04ec20ef9e13700b2619ddef,caba034e8e447ead30b18cc6826c56c1,2024-02-19,27,27,26,1,0,21,8,0,23,14,4,21,0,0,0,0,0,0,0,1,43,0,43,40,3,3,0,0,0,0,0,0,24,0,22,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,105,0,43,0,43,40,0,3,0,0,0,0,0,1,0
61295a4abf054ce870cbbd305a967663,b38dc3c0f537839d556089e25d49ee6f30ac398a55b6cc48bc3d11f6b4fa19d2,273bc1386cea1f92a3ff77ff6ccae996,42f60836f409857d520136fbeac4c66b,2024-02-14,18,8,8,0,10,3,1,0,0,2,1,1,1,3,0,0,0,4,0,1,425,400,25,25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,0,90,0,90,90,0,0,0,0,0,0,0,0,0
4165820bb9278f602cf182c33e45597c,1096e863ca344ad23d896ce35ec2b742d5ff2cf6965d472ed960d77d08da9351,dfce12d189a1c38e228bf6d57bca7711,9bab9b64ce53e94c5bd3234b7388c8d5,2024-02-16,44,43,43,0,1,38,36,6,31,0,41,42,0,0,0,0,0,1,0,1,51,5,46,46,0,8,10,0,1,0,0,0,53,0,49,0,0,0,8,0,1,1,0,1,0,0,0,0,6,0,0,1370,21,48,0,48,48,0,0,0,0,0,0,0,0,0
